Country ,Year ,Month ,YearMonth,Food Item,Unit of Measurement,Average Price,Currency ,Price in USD,Availability ,Quality 
Australia,2020,9,2020-9,Eggs,Carton of 12,3.52,AUD,2.36,1,High
Australia,2020,2,2020-2,Potatoes,1 Kg,3.52,AUD,2.37,1,High
Australia,2020,8,2020-8,Eggs,Carton of 12,3.51,AUD,2.35,1,High
Australia,2020,1,2020-1,Potatoes,1 Kg,3.5,AUD,2.35,1,High
Australia,2020,7,2020-7,Eggs,Carton of 12,3.49,AUD,2.34,1,High
Australia,2020,6,2020-6,Eggs,Carton of 12,3.48,AUD,2.33,1,High
Australia,2019,12,2019-12,Potatoes,1 Kg,3.48,AUD,2.34,1,High
Australia,2020,5,2020-5,Eggs,Carton of 12,3.47,AUD,2.33,1,High
Australia,2019,11,2019-11,Potatoes,1 Kg,3.46,AUD,2.32,1,High
Australia,2020,4,2020-4,Eggs,Carton of 12,3.45,AUD,2.32,1,High
Australia,2020,3,2020-3,Eggs,Carton of 12,3.44,AUD,2.31,1,High
Australia,2019,10,2019-10,Potatoes,1 Kg,3.44,AUD,2.31,1,High
Australia,2020,2,2020-2,Eggs,Carton of 12,3.43,AUD,2.3,1,High
Australia,2019,9,2019-9,Potatoes,1 Kg,3.42,AUD,2.3,1,High
Australia,2020,1,2020-1,Eggs,Carton of 12,3.41,AUD,2.29,1,High
Australia,2019,12,2019-12,Eggs,Carton of 12,3.4,AUD,2.28,1,High
Australia,2019,8,2019-8,Potatoes,1 Kg,3.4,AUD,2.28,1,High
Australia,2019,11,2019-11,Eggs,Carton of 12,3.39,AUD,2.27,1,High
Australia,2019,10,2019-10,Eggs,Carton of 12,3.38,AUD,2.27,1,High
Australia,2019,7,2019-7,Potatoes,1 Kg,3.38,AUD,2.27,1,High
Australia,2019,9,2019-9,Eggs,Carton of 12,3.36,AUD,2.26,1,High
Australia,2019,6,2019-6,Potatoes,1 Kg,3.36,AUD,2.26,1,High
Australia,2019,8,2019-8,Eggs,Carton of 12,3.35,AUD,2.25,1,High
Australia,2019,7,2019-7,Eggs,Carton of 12,3.34,AUD,2.24,1,High
Australia,2019,5,2019-5,Potatoes,1 Kg,3.34,AUD,2.24,1,High
Australia,2019,6,2019-6,Eggs,Carton of 12,3.32,AUD,2.23,1,High
Australia,2019,4,2019-4,Potatoes,1 Kg,3.32,AUD,2.23,1,High
Australia,2019,5,2019-5,Eggs,Carton of 12,3.31,AUD,2.22,1,High
Australia,2019,4,2019-4,Eggs,Carton of 12,3.3,AUD,2.21,1,High
Australia,2019,3,2019-3,Potatoes,1 Kg,3.3,AUD,2.22,1,High
Australia,2019,3,2019-3,Eggs,Carton of 12,3.28,AUD,2.2,1,High
Australia,2019,2,2019-2,Potatoes,1 Kg,3.28,AUD,2.2,1,High
Australia,2019,2,2019-2,Eggs,Carton of 12,3.27,AUD,2.2,1,High
Australia,2019,1,2019-1,Eggs,Carton of 12,3.26,AUD,2.19,1,High
Australia,2018,4,2018-4,Potatoes,1 Kg,3.26,AUD,2.18,1,High
Australia,2018,5,2018-5,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,6,2018-6,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,7,2018-7,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,8,2018-8,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,9,2018-9,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,10,2018-10,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,11,2018-11,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,12,2018-12,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2019,1,2019-1,Potatoes,1 Kg,3.26,AUD,2.19,1,High
Australia,2018,12,2018-12,Eggs,Carton of 12,3.25,AUD,2.18,1,High
Australia,2018,1,2018-1,Potatoes,1 Kg,3.25,AUD,2.18,1,High
Australia,2018,2,2018-2,Potatoes,1 Kg,3.25,AUD,2.18,1,High
Australia,2018,3,2018-3,Potatoes,1 Kg,3.25,AUD,2.18,1,High
Australia,2018,11,2018-11,Eggs,Carton of 12,3.23,AUD,2.17,1,High
Australia,2018,10,2018-10,Eggs,Carton of 12,3.22,AUD,2.16,1,High
Australia,2018,9,2018-9,Eggs,Carton of 12,3.21,AUD,2.15,1,High
Australia,2018,8,2018-8,Eggs,Carton of 12,3.19,AUD,2.14,1,High
Australia,2018,7,2018-7,Eggs,Carton of 12,3.18,AUD,2.13,1,High
Australia,2018,6,2018-6,Eggs,Carton of 12,3.17,AUD,2.13,1,High
Australia,2018,5,2018-5,Eggs,Carton of 12,3.15,AUD,2.12,1,High
Australia,2018,4,2018-4,Eggs,Carton of 12,3.14,AUD,2.11,1,High
Australia,2018,3,2018-3,Eggs,Carton of 12,3.13,AUD,2.1,1,High
Australia,2018,2,2018-2,Eggs,Carton of 12,3.12,AUD,2.09,1,High
Australia,2018,1,2018-1,Eggs,Carton of 12,3.1,AUD,2.08,1,High
Australia,2022,12,2022-12,Bread,Loaf,2.92,AUD,1.96,1,High
Australia,2022,11,2022-11,Bread,Loaf,2.9,AUD,1.95,1,High
Australia,2022,10,2022-10,Bread,Loaf,2.88,AUD,1.93,1,High
Australia,2022,9,2022-9,Bread,Loaf,2.86,AUD,1.92,1,High
Australia,2022,8,2022-8,Bread,Loaf,2.84,AUD,1.91,1,High
Australia,2022,7,2022-7,Bread,Loaf,2.82,AUD,1.89,1,High
Australia,2022,6,2022-6,Bread,Loaf,2.8,AUD,1.88,1,High
Australia,2022,5,2022-5,Bread,Loaf,2.78,AUD,1.87,1,High
Australia,2022,4,2022-4,Bread,Loaf,2.76,AUD,1.85,1,High
Australia,2022,3,2022-3,Bread,Loaf,2.74,AUD,1.84,1,High
Australia,2022,2,2022-2,Bread,Loaf,2.72,AUD,1.83,1,High
Australia,2022,1,2022-1,Bread,Loaf,2.7,AUD,1.81,1,High
Australia,2021,12,2021-12,Bread,Loaf,2.68,AUD,1.8,1,High
Australia,2021,11,2021-11,Bread,Loaf,2.65,AUD,1.78,1,High
Australia,2021,10,2021-10,Bread,Loaf,2.63,AUD,1.76,1,High
Australia,2021,9,2021-9,Bread,Loaf,2.6,AUD,1.74,1,High
Australia,2021,8,2021-8,Bread,Loaf,2.58,AUD,1.73,1,High
Australia,2021,7,2021-7,Bread,Loaf,2.55,AUD,1.71,1,High
Australia,2021,6,2021-6,Bread,Loaf,2.53,AUD,1.69,1,High
Australia,2021,5,2021-5,Bread,Loaf,2.5,AUD,1.68,1,High
Australia,2021,4,2021-4,Bread,Loaf,2.48,AUD,1.66,1,High
Australia,2021,3,2021-3,Bread,Loaf,2.45,AUD,1.64,1,High
Australia,2021,2,2021-2,Bread,Loaf,2.43,AUD,1.63,1,High
Australia,2020,12,2020-12,Bread,Loaf,2.4,AUD,1.61,1,High
Australia,2021,1,2021-1,Bread,Loaf,2.4,AUD,1.61,1,High
Australia,2020,8,2020-8,Bread,Loaf,2.39,AUD,1.6,1,High
Australia,2020,9,2020-9,Bread,Loaf,2.39,AUD,1.6,1,High
Australia,2020,10,2020-10,Bread,Loaf,2.39,AUD,1.6,1,High
Australia,2020,11,2020-11,Bread,Loaf,2.39,AUD,1.61,1,High
Australia,2020,5,2020-5,Bread,Loaf,2.38,AUD,1.59,1,High
Australia,2020,6,2020-6,Bread,Loaf,2.38,AUD,1.6,1,High
Australia,2020,7,2020-7,Bread,Loaf,2.38,AUD,1.6,1,High
Australia,2020,2,2020-2,Bread,Loaf,2.37,AUD,1.59,1,High
Australia,2020,3,2020-3,Bread,Loaf,2.37,AUD,1.59,1,High
Australia,2020,4,2020-4,Bread,Loaf,2.37,AUD,1.59,1,High
Australia,2020,1,2020-1,Bread,Loaf,2.36,AUD,1.59,1,High
Australia,2019,12,2019-12,Bread,Loaf,2.35,AUD,1.58,1,High
Australia,2019,11,2019-11,Bread,Loaf,2.34,AUD,1.57,1,High
Australia,2019,10,2019-10,Bread,Loaf,2.33,AUD,1.57,1,High
Australia,2019,9,2019-9,Bread,Loaf,2.32,AUD,1.56,1,High
Australia,2019,8,2019-8,Bread,Loaf,2.31,AUD,1.55,1,High
Australia,2019,7,2019-7,Bread,Loaf,2.3,AUD,1.55,1,High
Australia,2019,6,2019-6,Bread,Loaf,2.29,AUD,1.54,1,High
Australia,2019,5,2019-5,Bread,Loaf,2.28,AUD,1.53,1,High
Australia,2019,4,2019-4,Bread,Loaf,2.27,AUD,1.53,1,High
Australia,2019,3,2019-3,Bread,Loaf,2.26,AUD,1.52,1,High
Australia,2019,2,2019-2,Bread,Loaf,2.25,AUD,1.51,1,High
Australia,2018,11,2018-11,Bread,Loaf,2.24,AUD,1.5,1,High
Australia,2018,12,2018-12,Bread,Loaf,2.24,AUD,1.5,1,High
Australia,2019,1,2019-1,Bread,Loaf,2.24,AUD,1.51,1,High
Australia,2018,9,2018-9,Bread,Loaf,2.23,AUD,1.5,1,High
Australia,2018,10,2018-10,Bread,Loaf,2.23,AUD,1.5,1,High
Australia,2018,6,2018-6,Bread,Loaf,2.22,AUD,1.49,1,High
Australia,2018,7,2018-7,Bread,Loaf,2.22,AUD,1.49,1,High
Australia,2018,8,2018-8,Bread,Loaf,2.22,AUD,1.49,1,High
Australia,2018,4,2018-4,Bread,Loaf,2.21,AUD,1.48,1,High
Australia,2018,5,2018-5,Bread,Loaf,2.21,AUD,1.48,1,High
Australia,2018,1,2018-1,Bread,Loaf,2.2,AUD,1.47,1,High
Australia,2018,2,2018-2,Bread,Loaf,2.2,AUD,1.48,1,High
Australia,2018,3,2018-3,Bread,Loaf,2.2,AUD,1.48,1,High
Australia,2022,11,2022-11,Milk,1 L,1.77,AUD,1.19,1,High
Australia,2022,12,2022-12,Milk,1 L,1.77,AUD,1.19,1,High
Australia,2022,7,2022-7,Milk,1 L,1.76,AUD,1.18,1,High
Australia,2022,8,2022-8,Milk,1 L,1.76,AUD,1.18,1,High
Australia,2022,9,2022-9,Milk,1 L,1.76,AUD,1.18,1,High
Australia,2022,10,2022-10,Milk,1 L,1.76,AUD,1.18,1,High
Australia,2022,4,2022-4,Milk,1 L,1.75,AUD,1.17,1,High
Australia,2022,5,2022-5,Milk,1 L,1.75,AUD,1.17,1,High
Australia,2022,6,2022-6,Milk,1 L,1.75,AUD,1.18,1,High
Australia,2022,1,2022-1,Milk,1 L,1.74,AUD,1.17,1,High
Australia,2022,2,2022-2,Milk,1 L,1.74,AUD,1.17,1,High
Australia,2022,3,2022-3,Milk,1 L,1.74,AUD,1.17,1,High
Australia,2021,12,2021-12,Milk,1 L,1.72,AUD,1.15,1,High
Australia,2021,11,2021-11,Milk,1 L,1.7,AUD,1.14,1,High
Australia,2021,10,2021-10,Milk,1 L,1.68,AUD,1.13,1,High
Australia,2021,9,2021-9,Milk,1 L,1.66,AUD,1.11,1,High
Australia,2021,8,2021-8,Milk,1 L,1.64,AUD,1.1,1,High
Australia,2021,7,2021-7,Milk,1 L,1.62,AUD,1.09,1,High
Australia,2021,6,2021-6,Milk,1 L,1.6,AUD,1.07,1,High
Australia,2021,5,2021-5,Milk,1 L,1.58,AUD,1.06,1,High
Australia,2021,4,2021-4,Milk,1 L,1.56,AUD,1.04,1,High
Australia,2021,3,2021-3,Milk,1 L,1.54,AUD,1.03,1,High
Australia,2021,2,2021-2,Milk,1 L,1.52,AUD,1.02,1,High
Australia,2021,1,2021-1,Milk,1 L,1.5,AUD,1,1,High
Australia,2020,11,2020-11,Milk,1 L,1.49,AUD,1,1,High
Australia,2020,12,2020-12,Milk,1 L,1.49,AUD,1,1,High
Australia,2020,9,2020-9,Milk,1 L,1.48,AUD,0.99,1,High
Australia,2020,10,2020-10,Milk,1 L,1.48,AUD,0.99,1,High
Australia,2020,7,2020-7,Milk,1 L,1.47,AUD,0.98,1,High
Australia,2020,8,2020-8,Milk,1 L,1.47,AUD,0.99,1,High
Australia,2020,5,2020-5,Milk,1 L,1.46,AUD,0.98,1,High
Australia,2020,6,2020-6,Milk,1 L,1.46,AUD,0.98,1,High
Australia,2020,3,2020-3,Milk,1 L,1.45,AUD,0.97,1,High
Australia,2020,4,2020-4,Milk,1 L,1.45,AUD,0.97,1,High
Australia,2020,1,2020-1,Milk,1 L,1.44,AUD,0.96,1,High
Australia,2020,2,2020-2,Milk,1 L,1.44,AUD,0.97,1,High
Australia,2019,12,2019-12,Milk,1 L,1.43,AUD,0.96,1,High
Australia,2019,11,2019-11,Milk,1 L,1.42,AUD,0.95,1,High
Australia,2019,10,2019-10,Milk,1 L,1.41,AUD,0.95,1,High
Australia,2019,9,2019-9,Milk,1 L,1.4,AUD,0.94,1,High
Australia,2019,8,2019-8,Milk,1 L,1.39,AUD,0.93,1,High
Australia,2019,7,2019-7,Milk,1 L,1.38,AUD,0.93,1,High
Australia,2019,5,2019-5,Milk,1 L,1.37,AUD,0.92,1,High
Australia,2019,6,2019-6,Milk,1 L,1.37,AUD,0.92,1,High
Australia,2019,4,2019-4,Milk,1 L,1.36,AUD,0.91,1,High
Australia,2019,3,2019-3,Milk,1 L,1.35,AUD,0.9,1,High
Australia,2019,2,2019-2,Milk,1 L,1.34,AUD,0.9,1,High
Australia,2019,1,2019-1,Milk,1 L,1.33,AUD,0.89,1,High
Australia,2018,12,2018-12,Milk,1 L,1.32,AUD,0.89,1,High
Australia,2018,11,2018-11,Milk,1 L,1.31,AUD,0.88,1,High
Australia,2018,10,2018-10,Milk,1 L,1.3,AUD,0.87,1,High
Australia,2018,9,2018-9,Milk,1 L,1.29,AUD,0.87,1,High
Australia,2018,7,2018-7,Milk,1 L,1.28,AUD,0.86,1,High
Australia,2018,8,2018-8,Milk,1 L,1.28,AUD,0.86,1,High
Australia,2018,6,2018-6,Milk,1 L,1.27,AUD,0.85,1,High
Australia,2018,5,2018-5,Milk,1 L,1.26,AUD,0.84,1,High
Australia,2018,4,2018-4,Milk,1 L,1.25,AUD,0.84,1,High
Australia,2018,3,2018-3,Milk,1 L,1.24,AUD,0.83,1,High
Australia,2018,2,2018-2,Milk,1 L,1.23,AUD,0.83,1,High
Australia,2018,1,2018-1,Milk,1 L,1.22,AUD,0.82,1,High
